state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean
Andhra Pradesh,2015,832.0,1410.0,2242.0,6209.0,7532.0,1323.0,9018.0,7619.0,7278.0,8678.0,1.2130777903042014,0.21307779030436252,0.2486138833443947,0.15635395874915098,0.8448658239076463,0.9622976269681789,,,,,,,,,,,0.0,0.0,0.0,9018.0,2242.0,1.2130777903042014
Andhra Pradesh,2016,860.0,1496.0,2356.0,6077.0,7418.0,1341.0,9003.0,7573.0,7294.0,8724.0,1.2206680928087508,0.22066809280891544,0.2616905475952169,0.16616683327777781,0.8411640564255424,0.969010329889929,-0.021259462071187007,-0.015135422198619186,-0.001663339986693324,-0.006037537734610798,0.05084745762711873,-132.0,-114.0,-15.0,-46.0,114.0,-0.0016633399866930955,-0.021259462071183562,0.050847457627095964,9010.5,2299.0,1.216872941556476
Andhra Pradesh,2017,940.0,1443.0,2383.0,6048.0,7445.0,1397.0,8999.0,7490.0,7297.0,8807.0,1.2309854497352462,0.23098544973541152,0.2648072008000595,0.16035115012777415,0.8323147016334222,0.9786642960327837,-0.004772091492512787,0.0036397950930169287,-0.0004442963456625648,-0.010959989436154727,0.011460101867572181,-29.0,27.0,-4.0,-83.0,27.0,-0.002106897316477921,-0.025930101465610252,0.06289027653877659,9006.666666666666,2327.0,1.2215771109493996
Andhra Pradesh,2018,936.0,1446.0,2383.0,6049.0,7297.0,1248.0,8997.0,7495.0,7299.0,8802.0,1.2063150934036688,0.20631509340383428,0.2648660664665705,0.1607202400800088,0.8330554629319958,0.9783261087027921,0.00016534391534395176,-0.01987911349899263,-0.00022224691632399818,0.0006675567423231055,0.0,1.0,-148.0,-2.0,5.0,0.0,-0.0023286759813703336,-0.025769044934767952,0.06289027653877659,8999.666666666666,2374.0,1.2193228786492218
Andhra Pradesh,2019,926.0,1452.0,2377.0,5884.0,7287.0,1403.0,8828.0,7335.0,7305.0,8797.0,1.2384432358937392,0.23844323589390914,0.2692569098323211,0.16447666515630216,0.8308790212957826,0.9964884458539877,-0.027277235906761454,-0.0013704262025490133,-0.018784039124152496,-0.021347565043362215,-0.0025178346621904657,-165.0,-10.0,-169.0,-160.0,-6.0,-0.021068973164779212,-0.052343372523747406,0.06021409455840312,8941.333333333334,2381.0,1.225247926344218
Andhra Pradesh,2020,885.0,1460.0,2345.0,5915.0,7407.0,1492.0,8817.0,7375.0,7307.0,8749.0,1.2522400676244712,0.25224006762464035,0.2659634796415713,0.1655892026766286,0.836452308041189,0.9922876261765915,0.0052685248130524,0.016467682173733955,-0.0012460353420933323,0.005453306066802943,-0.013462347496844718,31.0,120.0,-11.0,40.0,-32.0,-0.022288755821687482,-0.047350620067636115,0.045941123996411266,8880.666666666666,2368.3333333333335,1.2323327989739596
Andhra Pradesh,2021,894.0,1499.0,2393.0,6038.0,7328.0,1290.0,8987.0,7537.0,7309.0,8759.0,1.213646902947795,0.21364690294796063,0.26627350617555734,0.16679648380992915,0.8386558362077624,0.9746300211415405,0.020794590025359216,-0.010665586607263355,0.01928093455823987,0.021966101694915308,0.020469083155650214,123.0,-79.0,170.0,162.0,48.0,-0.0034375693058323977,-0.02754066677403325,0.06735057983939904,8877.333333333334,2371.6666666666665,1.2347767354886685
Andhra Pradesh,2022,952.0,1745.0,2696.0,5725.0,6744.0,1019.0,8979.0,7470.0,7318.0,8827.0,1.17799126637534,0.17799126637551474,0.3002561532464305,0.19434235438242628,0.8319411961241974,0.9830716115379237,-0.051838357071878116,-0.07969432314410485,-0.0008901746967842072,-0.00888947857237632,0.12661930631007112,-313.0,-584.0,-8.0,-67.0,303.0,-0.004324683965402048,-0.07795136092767306,0.20249776984825937,8927.666666666666,2478.0,1.2146260789825354
Andhra Pradesh,2023,1035.0,2429.0,3464.0,4955.0,5744.0,788.0,8977.0,7384.0,7320.0,8913.0,1.1592330978806944,0.15903128153377213,0.38587501392443063,0.2705803720619059,0.8225465077419157,0.9928706694885827,-0.1344978165938865,-0.14827995255041515,-0.0002227419534469588,-0.011512717536813932,0.28486646884273004,-770.0,-1000.0,-2.0,-86.0,768.0,-0.004546462630294461,-0.20196488967624382,0.5450490633360637,8981.0,2851.0,1.1836237557346099
Andhra Pradesh,2024,1039.0,1460.0,2499.0,5914.0,6723.0,809.0,8969.0,7374.0,7327.0,8923.0,1.1367940480214513,0.13679404802162043,0.2786263797524497,0.1627829189430078,0.8221652358121505,0.9948712231016841,0.1935418768920283,0.17043871866295257,-0.000891166313913283,-0.001354279523293589,-0.2785796766743649,959.0,979.0,-8.0,-10.0,-965.0,-0.005433577289864112,-0.047511676598478415,0.11462979482599704,8975.0,2886.3333333333335,1.1580061374258286
