state,year,raw_values,pdf_page,y_position
Goa,2015,14|14|130|157|27|197|144|164|217,149,640.58
Goa,2016,14|14|130|155|25|197|144|164|217,149,649.34
Goa,2017,15|15|129|152|23|197|144|164|217,149,658.1
Goa,2018,16|16|128|150|22|197|144|164|217,149,666.86
Goa,2019,4|5|8|127|147|141|131|221|230,149,675.62
Goa,2020,4|5|8|126|144|18|140|131|221|230,149,684.38
Goa,2021,4|5|8|127|144|18|141|131|221|230,149,693.14
Goa,2022,4|5|8|126|144|18|139|130|221|230,149,701.9
Goa,2023,4|5|8|127|145|19|141|131|220|229,149,710.66
Gujarat,2015,19602|18810|2106|1363|2108|3472|804|2|1959|2766,150,153.02
Gujarat,2016,19602|18810|2109|1376|2074|3450|802|5|1933|2741,150,161.78
Gujarat,2017,19602|18810|2121|1402|2069|3471|804|5|1923|2732,150,170.54
Gujarat,2018,19602|18810|2118|1416|2077|3492|803|4|1903|2711,150,179.3
Gujarat,2019,19624|18810|2119|1420|2077|3496|807|4|1901|2712,150,188.06
Gujarat,2020,19624|18810|2051|1423|2087|3510|787|11|1876|2674,150,196.82
Gujarat,2021,19624|18810|2052|1462|2080|3542|788|10|1917|2716,150,205.58
Gujarat,2022,19624|18810|2058|1520|2078|3597|787|9|1766|2562,150,214.34
Gujarat,2023,19624|18810|2058|1573|2077|3649|785|9|1721|2514,150,223.1
Gujarat,2024,19624|18810|2081|1612|2099|3711|785|9|1724|2518,150,231.86
Haryana,2015,4421|4371|41|395|113|508|25|8|44|78,150,249.38
Haryana,2016,4421|4371|40|436|128|564|24|8|35|68,150,258.14
Haryana,2017,4421|4371|36|436|117|553|24|6|49|79,150,266.9
Haryana,2018,4421|4371|35|156|289|445|74|21|54|149,150,275.66
Haryana,2019,4421|4371|36|166|199|366|175|34|63|273,150,284.42
Haryana,2020,4421|4371|32|168|171|339|153|37|65|255,150,293.18
Haryana,2021,4421|4371|32|168|171|339|153|37|65|255,150,301.94
Haryana,2022,4421|4354|31|154|138|292|81|36|122|239,150,310.7
Haryana,2023,4421|4317|31|187|183|370|63|28|103|194,150,319.46
Haryana,2024,4421|4425|30|155|162|317|48|181|103|332,150,328.22
Himachal Pradesh,2015,5567|4577|1127|359|774|1132|1502|69|119|1690,150,349.82
Himachal Pradesh,2016,5567|4578|1125|352|779|1131|1508|67|122|1696,150,358.58
Himachal Pradesh,2017,5567|4577|1124|359|777|1136|1501|68|120|1689,150,367.34
Himachal Pradesh,2018,5567|4577|1125|358|774|1133|1502|71|120|1692,150,376.1
Himachal Pradesh,2019,5567|4577|1123|366|767|1133|1500|70|118|1688,150,384.86
Himachal Pradesh,2020,5567|4578|1124|365|766|1131|1503|68|125|1695,150,393.62
Himachal Pradesh,2021,5567|4577|1144|366|771|1137|1466|70|130|1665,150,402.38
Himachal Pradesh,2022,5567|4578|1144|362|771|1133|1458|70|131|1659,150,411.14
Himachal Pradesh,2023,5567|4579|1144|370|776|1146|1461|71|135|1667,150,419.9
Himachal Pradesh,2024,5567|4582|1147|369|780|1149|1461|71|133|1665,150,428.66
Jammu & Kashmir,2015,20|114|134|754|1159|405|1077|868|2981|3189,154,400.1
Jammu & Kashmir,2016,22|101|124|757|1177|420|1078|858|2980|3199,154,408.86
Jammu & Kashmir,2017,26|105|131|752|1165|413|1081|857|3039|3263,154,417.62
Jammu & Kashmir,2018,36|121|157|713|1124|411|1091|835|3038|3295,154,426.38
Jammu & Kashmir,2019,37|97|135|720|1090|370|1071|817|2774|3028,154,435.14
Jammu & Kashmir,2020,38|82|120|736|1112|376|1074|818|2771|3028,154,443.9
Jammu & Kashmir,2021,37|88|125|733|1134|401|1075|821|2768|3023,154,452.66
Jammu & Kashmir,2022,37|98|136|733|1134|400|1094|832|2763|3026,154,461.42
Jammu & Kashmir,2023,40|95|134|738|1126|388|1095|833|2771|3033,154,470.18
Jammu & Kashmir,2024,41|102|143|729|1128|399|1097|831|1273|1539,154,478.94
Jharkhand,2015,7972|7970|2239|716|586|1302|116|100|363|579,150,446.18
Jharkhand,2016,7972|7970|2239|670|583|1253|110|102|352|565,150,454.94
Jharkhand,2017,7972|7970|2239|696|584|1281|127|121|368|616,150,463.7
Jharkhand,2018,7972|7970|2239|705|579|1285|127|146|380|653,150,472.46
Jharkhand,2019,7972|7970|2239|736|584|1320|131|144|369|643,150,481.22
Jharkhand,2020,7972|7970|2239|700|580|1280|132|125|406|663,150,489.98
Jharkhand,2021,7972|7970|2239|690|586|1276|131|126|382|640,150,498.74
Jharkhand,2022,7972|7970|2239|720|568|1288|131|133|387|652,150,507.5
