page,line_index,y,text
154,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
154,10,133.46,NAGAR HAVELI
154,11,139.82,AND DAMAN AND
154,12,148.58,2019-20 0 0 0 23 23 0 23 23 24 25
154,13,157.34,2020-21 0 0 0 23 23 0 23 23 24 25
154,14,166.1,2021-22(p) 0 0 0 23 23 0 23 23 24 25
154,15,174.86,2022-23 1 0 1 21 21 0 22 21 34 35
154,16,183.62,2023-24 1 0 1 21 21 0 22 22 34 34
154,17,192.38,2024-25(p) 0 0 0 21 21 0 22 21 33 33
154,18,197.9,DADRA & NAGAR
154,19,204.26,HAVELI
154,20,213.02,2015-16 2 2 4 19 23 5 24 21 25 28
154,21,221.78,2016-17 2 2 5 19 23 4 24 21 25 28
154,22,230.54,2017-18 2 2 4 19 23 4 24 21 25 28
154,23,239.3,2018-19 0 0 0 20 20 0 20 20 24 24
154,24,248.06,DAMAN & DIU
154,25,256.82,2015-16 0 0 0 3 3 0 3 3 0 0
154,26,265.58,2016-17 0 0 0 3 3 0 3 3 0 0
154,27,274.34,2017-18 0 0 0 3 3 0 3 3 0 0
154,28,283.1,2018-19 0 0 0 3 3 0 3 3 0 0
154,29,291.86,DELHI
154,30,300.62,2015-16* 8 12 20 22 58 37 53 34 95 114
154,31,309.38,2016-17* 8 12 20 22 57 35 53 34 95 114
154,32,318.14,2017-18* 8 12 20 22 59 37 53 34 95 114
154,33,326.9,2018-19* 8 12 20 22 59 37 53 34 95 114
154,34,335.66,2019-20* 8 12 20 22 58 36 53 34 113 132
154,35,344.42,2020-21* 8 12 20 22 58 37 53 34 113 132
154,36,353.18,2021-22* 8 12 20 22 58 37 53 34 113 132
154,37,361.94,2022-23 19 19 22 52 30 52 22 112 143
154,38,370.7,2023-24 19 19 28 47 19 59 28 112 143
154,39,379.46,2024-25(p) 19 0 19 28 47 19 58 28 93 123
154,40,384.98,JAMMU &
154,41,391.34,KASHMIR
154,42,400.1,2015-16 20 114 134 754 1159 405 1077 868 2981 3189
154,43,408.86,2016-17 22 101 124 757 1177 420 1078 858 2980 3199
154,44,417.62,2017-18 26 105 131 752 1165 413 1081 857 3039 3263
154,45,426.38,2018-19 36 121 157 713 1124 411 1091 835 3038 3295
154,46,435.14,2019-20 37 97 135 720 1090 370 1071 817 2774 3028
154,47,443.9,2020-21 38 82 120 736 1112 376 1074 818 2771 3028
154,48,452.66,2021-22 37 88 125 733 1134 401 1075 821 2768 3023
154,49,461.42,2022-23 37 98 136 733 1134 400 1094 832 2763 3026
154,50,470.18,2023-24 40 95 134 738 1126 388 1095 833 2771 3033
154,51,478.94,2024-25(p) 41 102 143 729 1128 399 1097 831 1273 1539
154,52,487.7,LADAKH
154,53,496.46,2019-20* 1 1 2 20 22 1 28 21 264 271
154,54,505.22,2020-21* 1 1 2 20 22 1 28 21 265 272
154,55,513.98,2021-22 1 1 2 20 22 1 28 21 264 271
154,56,522.74,2022-23 1 2 3 22 23 1 32 24 263 271
154,57,531.5,2023-24 1 2 3 22 23 1 32 24 263 271
154,58,540.26,2024-25(p) 1 2 3 22 23 1 32 24 39 47
154,59,549.02,LAKSHADWEEP
154,60,557.78,2015-16 2 2 0 2 2 1 1
154,61,566.54,2016-17 2 2 0 2 2 1 1
154,62,575.3,2017-18 2 2 0 2 2 1 1
154,63,584.06,2018-19 3 3 0 3 3 0 0
154,64,592.82,2019-20 2 2 0 2 2 3 3
154,65,601.58,2020-21 2 2 0 2 2 3 3
154,66,610.34,2021-22 2 2 0 2 2 3 3
154,67,619.1,2022-23 2 2 0 2 2 3 3
154,68,627.86,2023-24 2 2 0 2 2 3 3
154,69,636.62,2024-25(p) 0 0 2 2 0 2 2 1 1
154,70,645.38,PUDUCHERRY
154,71,654.14,2015-16 3 5 8 15 26 11 29 20 20 28
154,72,662.9,2016-17 3 5 8 15 26 11 29 20 20 29
154,73,671.66,2017-18 3 4 8 15 26 11 29 19 20 29
154,74,680.42,2018-19 3 4 7 15 27 11 28 19 20 29
154,75,689.18,2019-20 3 4 7 15 27 12 28 19 20 29
154,76,697.94,2020-21 3 4 7 15 27 11 28 19 20 29
154,77,706.7,2021-22 3 4 6 16 28 12 28 20 21 29
154,78,715.46,2022-23 3 3 6 16 30 13 28 19 21 29
154,79,768.0,141
155,0,55.82,TABLE 5
155,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
155,2,75.62,(Thousand Hectares)
155,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
155,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
155,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
155,6,101.06,Fallow lands Current Total land
155,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
155,8,113.54,current fallows
155,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
155,10,135.5,2023-24 3 3 5 16 30 14 28 19 21 30
155,11,144.26,2024-25(p) 3 4 7 15 26 12 27 18 21 30
155,12,153.02,ALL INDIA
155,13,161.78,2015-16 11310 15711 27021 138974 198122 59148 181371 154685 126122 152809
155,14,170.54,2016-17 11288 15298 26586 139000 201158 62159 180923 154298 127135 153760
155,15,179.3,2017-18 11640 14988 26629 138770 200876 62106 180817 153759 126692 153750
155,16,188.06,2018-19 11654 15214 26868 138439 201179 62740 180624 153653 126904 153875
155,17,196.82,2019-20 11242 13770 25012 139901 211359 71457 179992 153671 126550 152871
155,18,205.58,2020-21 10818 12986 23804 141544 216105 74561 180266 154530 126716 152452
155,19,214.34,2021-22 10917 13255 24172 141007 219158 78152 180112 154262 126374 152224
155,20,223.1,2022-23 11128 13498 24626 140705 219357 78652 179982 154203 126668 152447
155,21,231.86,2023-24 11163 14907 26070 139158 217917 78759 179768 154065 127397 153100
155,22,240.55,2024-25(p) 10610 12839 23448 141371 225790 84419 179428 154210 122443 147661
155,23,250.23,(p): provisional
155,24,779.0,142
