page,line_index,y,text
150,14,161.78,2016-17 19602 18810 2109 1376 2074 3450 802 5 1933 2741
150,15,170.54,2017-18 19602 18810 2121 1402 2069 3471 804 5 1923 2732
150,16,179.3,2018-19 19602 18810 2118 1416 2077 3492 803 4 1903 2711
150,17,188.06,2019-20 19624 18810 2119 1420 2077 3496 807 4 1901 2712
150,18,196.82,2020-21 19624 18810 2051 1423 2087 3510 787 11 1876 2674
150,19,205.58,2021-22 19624 18810 2052 1462 2080 3542 788 10 1917 2716
150,20,214.34,2022-23 19624 18810 2058 1520 2078 3597 787 9 1766 2562
150,21,223.1,2023-24 19624 18810 2058 1573 2077 3649 785 9 1721 2514
150,22,231.86,2024-25(p) 19624 18810 2081 1612 2099 3711 785 9 1724 2518
150,23,240.62,HARYANA
150,24,249.38,2015-16 4421 4371 41 395 113 508 25 8 44 78
150,25,258.14,2016-17 4421 4371 40 436 128 564 24 8 35 68
150,26,266.9,2017-18 4421 4371 36 436 117 553 24 6 49 79
150,27,275.66,2018-19 4421 4371 35 156 289 445 74 21 54 149
150,28,284.42,2019-20 4421 4371 36 166 199 366 175 34 63 273
150,29,293.18,2020-21 4421 4371 32 168 171 339 153 37 65 255
150,30,301.94,2021-22 4421 4371 32 168 171 339 153 37 65 255
150,31,310.7,2022-23 4421 4354 31 154 138 292 81 36 122 239
150,32,319.46,2023-24 4421 4317 31 187 183 370 63 28 103 194
150,33,328.22,2024-25(p) 4421 4425 30 155 162 317 48 181 103 332
150,34,334.7,HIMACHAL
150,35,341.06,PRADESH
150,36,349.82,2015-16 5567 4577 1127 359 774 1132 1502 69 119 1690
150,37,358.58,2016-17 5567 4578 1125 352 779 1131 1508 67 122 1696
150,38,367.34,2017-18 5567 4577 1124 359 777 1136 1501 68 120 1689
150,39,376.1,2018-19 5567 4577 1125 358 774 1133 1502 71 120 1692
150,40,384.86,2019-20 5567 4577 1123 366 767 1133 1500 70 118 1688
150,41,393.62,2020-21 5567 4578 1124 365 766 1131 1503 68 125 1695
150,42,402.38,2021-22 5567 4577 1144 366 771 1137 1466 70 130 1665
150,43,411.14,2022-23 5567 4578 1144 362 771 1133 1458 70 131 1659
150,44,419.9,2023-24 5567 4579 1144 370 776 1146 1461 71 135 1667
150,45,428.66,2024-25(p) 5567 4582 1147 369 780 1149 1461 71 133 1665
150,46,437.42,JHARKHAND
150,47,446.18,2015-16 7972 7970 2239 716 586 1302 116 100 363 579
150,48,454.94,2016-17 7972 7970 2239 670 583 1253 110 102 352 565
150,49,463.7,2017-18 7972 7970 2239 696 584 1281 127 121 368 616
150,50,472.46,2018-19 7972 7970 2239 705 579 1285 127 146 380 653
150,51,481.22,2019-20 7972 7970 2239 736 584 1320 131 144 369 643
150,52,489.98,2020-21 7972 7970 2239 700 580 1280 132 125 406 663
150,53,498.74,2021-22 7972 7970 2239 690 586 1276 131 126 382 640
150,54,507.5,2022-23 7972 7970 2239 720 568 1288 131 133 387 652
150,55,516.26,2023-24 7972 7970 2239 720 568 1288 131 133 390 655
150,56,525.02,2024-25(p) 7972 7970 2239 720 568 1288 131 133 390 655
150,57,533.78,KARNATAKA
150,58,542.54,2015-16 19179 19050 3073 1476 793 2269 907 276 409 1592
150,59,551.3,2016-17 19179 19050 3073 1495 793 2288 905 275 400 1581
150,60,560.06,2017-18 19179 19050 3073 1501 793 2294 905 274 400 1579
150,61,568.82,2018-19 19179 19050 3073 1505 769 2274 872 251 403 1527
150,62,577.58,2019-20 19179 19050 3073 1511 752 2263 871 238 390 1499
150,63,586.34,2020-21 19179 19050 3073 1516 743 2259 872 212 393 1477
150,64,595.1,2021-22 19179 19050 3074 1524 742 2266 874 211 394 1479
150,65,603.86,2022-23 19179 19050 3073 1553 740 2293 872 178 308 1358
150,66,612.62,2023-24 19179 19050 3073 1573 740 2312 872 177 315 1363
150,67,621.38,2024-25(p) 19179 19050 3073 1589 740 2328 872 182 311 1365
150,68,630.14,KERALA
150,69,638.9,2015-16 3886 3886 1082 541 13 554 3 99 102
150,70,647.66,2016-17 3886 3886 1082 546 12 558 2 101 104
150,71,656.42,2017-18 3886 3886 1082 548 11 559 2 96 99
150,72,665.18,2018-19 3886 3886 1082 559 10 570 2 96 99
150,73,673.94,2019-20 3885 3886 1082 562 11 572 2 100 102
150,74,682.7,2020-21 3885 3886 1082 567 10 576 2 94 96
150,75,691.46,2021-22 3885 3886 1082 572 10 581 2 88 91
150,76,700.22,2022-23 3886 3886 1082 595 9 604 2 95 97
150,77,708.98,2023-24 3886 3886 1082 610 9 619 2 102 104
150,78,717.74,2024-25(p) 3886 3886 1082 618 9 627 2 104 106
150,79,779.0,137
151,0,55.82,TABLE 5
151,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
151,2,75.62,(Thousand Hectares)
151,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
