type,page,state,year,values
numeric,149,,,2015|-16|263|281|545|4651|5640|989|5561|4932|8228|8858
numeric,149,,,2016|-17|257|273|530|4664|5673|1009|5558|4937|8232|8853
numeric,149,,,2017|-18|252|290|542|4653|5540|887|5562|4943|8228|8847
numeric,149,,,2018|-19|256|266|522|4679|5614|934|5570|4945|8218|8843
numeric,149,,,2019|-20|256|291|547|4635|5735|1099|5551|4926|8237|8862
numeric,149,,,2020|-21|255|301|556|4623|5712|1090|5542|4923|8503|9121
numeric,149,,,2021|-22|256|280|535|4631|5704|1073|5552|4911|8538|9180
numeric,149,,,2022|-23|269|311|580|4592|5596|1003|5556|4903|8573|9226
numeric,149,,,2023|-24|255|297|552|4616|5524|907|5554|4913|8578|9219
numeric,149,,,2024|-25|263|287|550|4624|5543|919|5564|4910|8563|9217
numeric,149,,,2015|-16|14|14|130|157|27|197|144|164|217
numeric,149,,,2016|-17|14|14|130|155|25|197|144|164|217
numeric,149,,,2017|-18|15|15|129|152|23|197|144|164|217
numeric,149,,,2018|-19|16|16|128|150|22|197|144|164|217
numeric,149,,,2019|-20|4|5|8|127|147|20|141|131|221|230
numeric,149,,,2020|-21|4|5|8|126|144|18|140|131|221|230
numeric,149,,,2021|-22|4|5|8|127|144|18|141|131|221|230
numeric,149,,,2022|-23|4|5|8|126|144|18|139|130|221|230
numeric,149,,,2023|-24|4|5|8|127|145|19|141|131|220|229
numeric,150,,,1|2|3|4|5|6|7|8|9|10|11
numeric,150,,,2024|-25|370|361|125|93|93|1|1|5|7
numeric,150,,,2015|-16|19602|18810|2106|1363|2108|3472|804|2|1959|2766
numeric,150,,,2016|-17|19602|18810|2109|1376|2074|3450|802|5|1933|2741
numeric,150,,,2017|-18|19602|18810|2121|1402|2069|3471|804|5|1923|2732
numeric,150,,,2018|-19|19602|18810|2118|1416|2077|3492|803|4|1903|2711
numeric,150,,,2019|-20|19624|18810|2119|1420|2077|3496|807|4|1901|2712
numeric,150,,,2020|-21|19624|18810|2051|1423|2087|3510|787|11|1876|2674
numeric,150,,,2021|-22|19624|18810|2052|1462|2080|3542|788|10|1917|2716
numeric,150,,,2022|-23|19624|18810|2058|1520|2078|3597|787|9|1766|2562
numeric,150,,,2023|-24|19624|18810|2058|1573|2077|3649|785|9|1721|2514
numeric,150,,,2024|-25|19624|18810|2081|1612|2099|3711|785|9|1724|2518
numeric,150,,,2015|-16|4421|4371|41|395|113|508|25|8|44|78
numeric,150,,,2016|-17|4421|4371|40|436|128|564|24|8|35|68
numeric,150,,,2017|-18|4421|4371|36|436|117|553|24|6|49|79
numeric,150,,,2018|-19|4421|4371|35|156|289|445|74|21|54|149
numeric,150,,,2019|-20|4421|4371|36|166|199|366|175|34|63|273
numeric,150,,,2020|-21|4421|4371|32|168|171|339|153|37|65|255
numeric,150,,,2021|-22|4421|4371|32|168|171|339|153|37|65|255
numeric,150,,,2022|-23|4421|4354|31|154|138|292|81|36|122|239
numeric,150,,,2023|-24|4421|4317|31|187|183|370|63|28|103|194
numeric,150,,,2024|-25|4421|4425|30|155|162|317|48|181|103|332
numeric,150,,,2015|-16|5567|4577|1127|359|774|1132|1502|69|119|1690
numeric,150,,,2016|-17|5567|4578|1125|352|779|1131|1508|67|122|1696
numeric,150,,,2017|-18|5567|4577|1124|359|777|1136|1501|68|120|1689
numeric,150,,,2018|-19|5567|4577|1125|358|774|1133|1502|71|120|1692
numeric,150,,,2019|-20|5567|4577|1123|366|767|1133|1500|70|118|1688
numeric,150,,,2020|-21|5567|4578|1124|365|766|1131|1503|68|125|1695
numeric,150,,,2021|-22|5567|4577|1144|366|771|1137|1466|70|130|1665
numeric,150,,,2022|-23|5567|4578|1144|362|771|1133|1458|70|131|1659
numeric,150,,,2023|-24|5567|4579|1144|370|776|1146|1461|71|135|1667
numeric,150,,,2024|-25|5567|4582|1147|369|780|1149|1461|71|133|1665
numeric,150,,,2015|-16|7972|7970|2239|716|586|1302|116|100|363|579
numeric,150,,,2016|-17|7972|7970|2239|670|583|1253|110|102|352|565
numeric,150,,,2017|-18|7972|7970|2239|696|584|1281|127|121|368|616
numeric,150,,,2018|-19|7972|7970|2239|705|579|1285|127|146|380|653
numeric,150,,,2019|-20|7972|7970|2239|736|584|1320|131|144|369|643
numeric,150,,,2020|-21|7972|7970|2239|700|580|1280|132|125|406|663
numeric,150,,,2021|-22|7972|7970|2239|690|586|1276|131|126|382|640
numeric,150,,,2022|-23|7972|7970|2239|720|568|1288|131|133|387|652
numeric,150,,,2023|-24|7972|7970|2239|720|568|1288|131|133|390|655
numeric,150,,,2024|-25|7972|7970|2239|720|568|1288|131|133|390|655
numeric,150,,,2015|-16|19179|19050|3073|1476|793|2269|907|276|409|1592
numeric,150,,,2016|-17|19179|19050|3073|1495|793|2288|905|275|400|1581
numeric,150,,,2017|-18|19179|19050|3073|1501|793|2294|905|274|400|1579
numeric,150,,,2018|-19|19179|19050|3073|1505|769|2274|872|251|403|1527
numeric,150,,,2019|-20|19179|19050|3073|1511|752|2263|871|238|390|1499
numeric,150,,,2020|-21|19179|19050|3073|1516|743|2259|872|212|393|1477
numeric,150,,,2021|-22|19179|19050|3074|1524|742|2266|874|211|394|1479
numeric,150,,,2022|-23|19179|19050|3073|1553|740|2293|872|178|308|1358
numeric,150,,,2023|-24|19179|19050|3073|1573|740|2312|872|177|315|1363
numeric,150,,,2024|-25|19179|19050|3073|1589|740|2328|872|182|311|1365
